neg,neu,pos,compound,headline
0.351,0.649,0.0,-0.4019,British CEO dies in seaplane crash
0.281,0.603,0.116,-0.5106,"A huge fire has destroyed up to 1,400 vehicles in a multi-storey car park in Liverpool, UK"
0.0,1.0,0.0,0.0,"North Korea declares completion of nuclear force, entire U.S. within range"
0.0,1.0,0.0,0.0,Likud calls for annexation of parts of West Bank
0.0,0.529,0.471,0.8689,North Korea: We sincerely hope the Winter Games in the South will be successful
0.135,0.865,0.0,-0.1027,Major Banks Reportedly Just Began Freezing Accounts of Bitcoin Users
0.0,1.0,0.0,0.0,Palestinians recall envoy to US
0.286,0.714,0.0,-0.34,The Mysterious Chinese Company Worrying the World
0.297,0.703,0.0,-0.5859,Hague poisoning: Bosnian Croat general's cyanide impossible to detect- inquiry
0.0,1.0,0.0,0.0,Pro-Israel group calls Lorde a 'bigot' in full-page ad in Washington Post
0.412,0.588,0.0,-0.7906,Nigeria: death toll in Boko Haram attack on loggers rises to 25
0.0,1.0,0.0,0.0,Canada: Too cold for penguins.
0.123,0.645,0.232,0.4019,"Woman branded ""a hero"" for removing hijab during anti-government protests in Iran"
0.259,0.741,0.0,-0.6808,"A fire has destroyed all cars in a 1,600 capacity multi-storey car park next to the Echo Arena in Liverpool."
0.346,0.654,0.0,-0.5719,Germany starts enforcing hate speech law - BBC News
0.467,0.533,0.0,-0.7906,10 Americans among 12 dead in Costa Rica plane crash
0.144,0.73,0.126,0.0258,"Angela Merkel calls on Germans to respect political differences in New Year's address - Germany's chancellor has warned that differing opinions threaten to tear ""a rift"" in society in a time of political uncertainty. She has called for more mutual respect and understanding."
0.425,0.575,0.0,-0.5719,Germany starts enforcing hate speech law.
0.0,1.0,0.0,0.0,"N.K. leader calls for mass-producing nukes, missiles, putting them into service"
0.102,0.898,0.0,-0.3182,Protests planned at UK rail stations to mark steep hike in fares - Unions say Tuesday’s ticket price increases – the biggest in five years – outstrip last year’s average pay rises by 50%
